id,incidence_date,conflict_type_id,country_id,region_id,state_id,lga_id,community,civilian_death_male,civilian_death_female,civilian_death_unknown,security_death_male,security_death_female,security_death_unknown,injured_male,injured_female,injured_unknown,kidnapped_male,kidnapped_female,kidnapped_unknown,displaced_persons,displaced_male,displaced_female,actor_1,actor_2,actor_3,description,action,highway_roads_water,confirmation_verification,verification_level,source_url,source_contact_details,source_contact_pictures,source_metadata,data_source,reporter_id,created_at,updated_at,deleted_at
102,2020-08-04,2,1,2,10,787,Washo,0,0,1,0,0,\N,0,0,\N,0,0,\N,No,0,0,2,4,22,attack by bandits,attack,\N,Nrust Hitgustaa,1,https://guardian.ng/news/gunmen-kill-journalist-in-nasarawa/,\N,\N,Sources: The Guardian | Other: http://saharareporters.com/2020/08/05/bandits-kill-journalist-nasarawa,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
103,2020-08-04,5,1,5,29,580,Ozoro,0,0,1,0,0,\N,0,0,\N,0,0,\N,No,0,0,21,4,22,deceased killed during protest by police stray bullet,attack,\N,incident denied by the police says the victim was killed by bullet from one of the protesters,1,https://www.vanguardngr.com/2020/08/one-killed-as-police-suspected-yahoo-boys-clash-in-delta/,\N,\N,Sources: Vanguard | Other: https://thenationonlineng.net/police-shoot-youth-in-delta-protest/,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
104,2020-08-04,4,1,5,28,556,Ikot Offiong Ambi,0,0,5,0,0,\N,0,0,\N,0,0,\N,No,0,0,24,24,22,cult clash,attack,\N,police deployed to maintain peace,1,https://guardian.ng/news/five-feared-killed-in-cross-river-cult-clash/,\N,\N,Sources: The Guardian,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
105,2020-08-05,2,1,3,17,330,Garwa,0,0,2,0,0,\N,0,0,\N,0,0,\N,No,0,0,2,4,22,deceased killed by bandits. 1 of the bandits killed by  vigilantes,attack,\N,bandit's killing confirmed by the police,1,http://saharareporters.com/2020/08/05/breaking-bandits-kill-apc-youth-leader-katsina,\N,\N,Sources: Saharareporters | Other: https://punchng.com/villagers-kill-suspected-bandit-in-katsina/,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
106,2020-08-07,8,1,5,27,553,Azikoro,0,0,4,0,0,\N,0,0,\N,0,0,\N,No,0,0,7,4,22,village attacked by gunmen,attack,\N,incidence alluded to revenge attack by the police,1,http://saharareporters.com/2020/08/07/gunmen-kill-pregnant-woman-three-others-bayelsa,\N,\N,Sources: Saharareporters | Other: https://punchng.com/gunmen-kill-man-pregnant-wife-two-others-in-bayelsa/,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
107,2020-08-08,8,1,4,24,483,Unknown,0,0,\N,0,0,1,0,0,\N,0,0,\N,No,0,0,7,21,22,soilder shot dead by gunmen while travelling in a commercial bus,attack,Enugu-Markurdi,\N,1,http://saharareporters.com/2020/08/08/gunmen-kill-nigerian-soldier-during-attack-commercial-bus-enugu,\N,\N,Sources: Saharareporters,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
108,2020-08-17,2,1,2,11,205,Tashan Kare,0,0,5,0,0,3,0,0,2,0,0,\N,No,0,0,2,21,22,armed clash between bandits and troops,armed clash,\N,incidence reported by DMO Coordinator. Number of bandits killed uncertain,1,https://www.premiumtimesng.com/regional/north-central/409411-troops-eliminate-bandits-in-niger-dhq.html,\N,\N,Sources: Premium Times | Other: https://tribuneonlineng.com/troops-eliminate-bandits-in-niger-%E2%80%95-dhq/,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
109,2020-08-17,3,1,5,29,583,Ogume,0,0,1,0,0,\N,0,0,\N,0,0,\N,No,0,0,5,5,22,communal clash,attack,\N,\N,1,https://www.sunnewsonline.com/murder-of-varsity-final-year-student-sparks-protests-in-delta/,\N,\N,Sources: The Sun,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
110,2020-08-19,2,1,3,20,407,Gamji,0,0,1,0,0,\N,0,0,1,0,0,4,No,0,0,7,4,22,attack by bandits,attack,\N,incidence confirmed by the police. NSCDC officers among the kidnapped,1,https://www.vanguardngr.com/2020/08/gunmen-abduct-ex-commissioners-children-nscdc-personnel-in-zamfara/,\N,\N,Sources: Vanguard | Other: https://www.premiumtimesng.com/regional/nwest/409527-gunmen-abduct-ex-commissioners-children-nscdc-personnel-in-zamfara.html,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
111,2020-08-19,12,1,1,3,61,Magumeri,0,0,1,0,0,\N,0,0,\N,0,0,\N,No,0,0,21,3,22,gun battle between soldiers and insurgents. Civilian killed by stray bullet,armed clash,\N,attackkialed-as ha-burad soldiers oko ageleraingumerisamnso-o,1,https://www.premiumtimesng.com/news/headlines/409696-two-soldiers-boko-haram-terrorists-killed-as-troops-repel-attack-on-magumeri.html,\N,\N,Sources: Premium Times | Other: https://www.sunnewsonline.com/2-soldiers-boko-haram-commander-others-killed-in-fresh-borno-attack/,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
112,2020-08-19,12,1,1,3,58,Kukawa,0,0,25,0,0,\N,0,0,\N,0,0,\N,No,0,0,21,10,22,"insurgents killed in military operations.3 AK 47 rifle, 8 rounds of 7.62mm (special), two 36 hand grenades, one motorcycle, IED materials",armed clash,\N,incidence annouunced by DMO Coordinator. Nigerien citizens in connection with arms supply,1,https://www.vanguardngr.com/2020/08/20-boko-haram-iswap-terrorists-commanders-killed-in-lake-chad/,\N,\N,Sources: Vanguard | Other: https://thenationonlineng.net/troops-intercept-arms-syndicate-that-supplies-bandits/,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
113,2020-08-20,2,1,3,15,282,Unguwan Gankon,0,0,2,0,0,\N,0,0,\N,0,0,\N,No,0,0,2,4,22,Bandits kill 2 in Zagon Kataf,attack,\N,Eye Witness,1,https://punchng.com/village-head-10-others-killed-in-southern-kaduna-sokapu-alleges/,\N,\N,Sources: Punch,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
114,2020-08-20,2,1,3,15,272,Unguwan/Madaki,0,0,4,0,0,\N,0,0,\N,0,0,\N,No,0,0,2,4,22,Bandits kill 4 in Kajuru,attack,\N,Eye Witness,1,https://punchng.com/village-head-10-others-killed-in-southern-kaduna-sokapu-alleges/,\N,\N,Sources: Punch,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
115,2020-08-20,2,1,3,15,268,Bugai,0,0,5,0,0,\N,0,0,\N,0,0,\N,No,0,0,2,4,22,Bandits kill 5 in Kachia,attack,\N,Eye Witness,1,https://punchng.com/village-head-10-others-killed-in-southern-kaduna-sokapu-alleges/,\N,\N,Sources: Punch,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
116,2020-08-20,12,1,1,3,58,Kukawa,0,0,8,0,0,3,0,0,2,0,0,\N,No,0,0,10,4,22,clash between soldiers and Boko Haram,armed clash,\N,incidence announced by DMO Coordinator,1,https://www.vanguardngr.com/2020/08/we-lost-3-soldiers-killed-8-boko-haram-terrorists-in-kukawa-attack-%E2%80%95-military/,\N,\N,Sources: Vanguard | Other: https://www.aljazeera.com/news/2020/08/nigerian-army-full-control-town-hostages-200820132155915.html,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
117,2020-08-20,12,1,2,7,121,Abaji,0,0,1,0,0,\N,0,0,\N,0,0,\N,No,0,0,21,10,22,encounter between sodiers and gunmen. 1 AK 47 rifle and 17 rounds of 7.62mm special ammunition recovered,armed clash,\N,incidence announced by DMO Coordinator,1,https://thenationonlineng.net/troops-intercept-arms-syndicate-that-supplies-bandits/,\N,\N,Sources: The Nation,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
118,2020-08-20,2,1,3,17,788,Danmusa,0,0,\N,0,0,\N,0,0,\N,0,0,2,No,0,0,2,4,22,bandits' attack.  Cows and food items carted away,attack,\N,"Confirmed attack  John Enencaharareporters, saharareporters Coordinbaor, Defence Media Operbaiattacks, and Ahmed Jibrin, former Director, Militaty Intelligence",1,http://saharareporters.com/2020/08/20/bandits-kidnap-igbo-trader-one-other-fresh-attack-katsina-community,\N,\N,Sources: Saharareporters,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
119,2020-08-21,13,1,5,27,549,Oluasiri,0,0,7,0,0,\N,0,0,\N,0,0,\N,No,0,0,25,25,22,armed clash between two rival militant gangs,attack,\N,"incidence confirmed by the police. Investigation ongoing,no of fatalities unknown",1,https://guardian.ng/news/seven-killed-as-militants-clash-in-bayelsa-community/,\N,\N,Sources: The Guardian,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
120,2020-08-21,4,1,5,31,628,Luebe,0,0,3,0,0,\N,0,0,\N,0,0,\N,No,0,0,24,24,22,cult clash,attack,\N,incidence confirmed by the police,1,https://www.sunnewsonline.com/chief-2-others-killed-in-ogoni-cult-war-police/,\N,\N,Sources: The Sun,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
121,2020-08-21,3,1,1,5,84,Dananacha,0,0,3,0,0,\N,0,0,\N,0,0,\N,No,0,0,5,5,22,renewed attack between the Tiv and Jukun groups,attack,\N,"incidence reported by the police, but held that no casaulty was recorded",1,https://www.independent.ng/communal-clash-3-killed-houses-burnt-in-renewed-tiv-jukun-clash/,\N,\N,Sources: Independent | Other: https://www.thecable.ng/three-killed-houses-burnt-as-tivs-jukuns-clash-again,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
122,2020-08-21,2,1,3,20,419,Dumburum Forest,0,0,3,0,0,\N,0,0,\N,0,0,\N,No,0,0,21,2,22,"Bandits killed by troops. 1AK 47 rifle, 2 empty AK 47 magazines ,127 rounds of 7.62mm Special ammunition recovered",armed clash,\N,Incident announced by DMO Acting Director. Operations conducted between August 15& 19 in Zamfara & Katsina,1,https://www.premiumtimesng.com/news/top-news/410013-nigerian-soldiers-kill-three-bandits-arrest-10-suspects-rescue-10-kidnapped-victims-official.html,\N,\N,Sources: Premium Times | Other: https://punchng.com/three-bandits-killed-many-rescued-in-zamfara-katsina-military/,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
