id,incidence_date,conflict_type_id,country_id,region_id,state_id,lga_id,community,civilian_death_male,civilian_death_female,civilian_death_unknown,security_death_male,security_death_female,security_death_unknown,injured_male,injured_female,injured_unknown,kidnapped_male,kidnapped_female,kidnapped_unknown,displaced_persons,displaced_male,displaced_female,actor_1,actor_2,actor_3,description,action,highway_roads_water,confirmation_verification,verification_level,source_url,source_contact_details,source_contact_pictures,source_metadata,data_source,reporter_id,created_at,updated_at,deleted_at
199,2020-10-13,2,1,3,17,340,Shau,0,0,8,0,0,\N,0,0,\N,0,0,\N,No,0,0,2,4,22,Bandits kill Imam and 7 others,attack,\N,"Confirmed by the state Police Public Relations Officer, Mr. Gambo Isah,",1,https://www.thisdaylive.com/index.php/2020/10/13/bandits-kill-imam-12-others-in-katsina-niger-communities/,\N,\N,Sources: Thisday,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
200,2020-10-13,2,1,3,17,340,Ruwangodiya,0,0,2,0,0,\N,0,0,\N,0,0,\N,No,0,0,2,4,22,Bandits kill 2 in Katsina State,attack,\N,"Confirmed by the state Police Public Relations Officer, Mr. Gambo Isah,",1,https://www.thisdaylive.com/index.php/2020/10/13/bandits-kill-imam-12-others-in-katsina-niger-communities/,\N,\N,Sources: Thisday,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
201,2020-10-13,7,1,6,37,791,Ogbomosho,0,0,3,0,0,\N,0,0,\N,0,0,\N,No,0,0,21,19,22,Killed during protest,armed clash,\N,Confirmed by the principal secretary to the Soun (Traditional Chief),1,https://www.premiumtimesng.com/regional/ssouth-west/420389-endsars-three-more-people-killed-during-protests-in-ogbomoso.html,\N,\N,Sources: Premium Times,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
202,2020-10-13,12,1,1,3,60,Ngwom,0,0,14,0,0,\N,0,0,1,0,0,\N,No,0,0,3,23,22,Boko Haram kill 14 farmers,attack,\N,"Ibrahim Liman, eye witness",1,https://guardian.ng/news/boko-haram-jihadists-kill-14-farmers-in-nigeria/,\N,\N,Sources: The Guardian,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
203,2020-10-14,2,1,2,11,205,Kagara,0,0,4,0,0,\N,0,0,1,0,0,\N,No,0,0,2,11,22,Bandits kill 4 Niger Vigilantes,attack,\N,"Confirmed by the police spokesperson for Niger State, Wasiu Abiodun",1,https://www.premiumtimesng.com/news/headlines/420427-niger-state-four-killed-as-vigilante-members-raid-police-armoury-to-confront-bandits.html,\N,\N,Sources: Premium Times,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
204,2020-10-16,2,1,3,17,330,Dutsin Karare,0,0,11,0,0,\N,0,0,\N,0,0,\N,No,0,0,2,4,22,Tension in Katsina community over killing of 11 suspected bandits,attack,\N,"Confirmed spokesman for the Katsina Police Command, Gambo Isah",1,https://punchng.com/tension-in-katsina-community-over-killing-of-11-suspected-bandits/,\N,\N,Sources: Punch | Other: https://www.google.com/url?rct=j&sa=t&url=https://www.thisdaylive.com/index.php/2020/10/15/panic-as-katsina-volunteers-kill-11-suspected-bandits/&ct=ga&cd=CAEYBSoUMTEzMDQwNjk5NzM2Njg2ODUwNzcyGmNmMzEwZjBjNTg1MzNjM2E6Y29tOmVuOlVT&usg=AFQjCNGLeihG1tHLZ4Pdfd2fxNV31zVlpA,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
205,2020-10-16,7,1,1,5,91,Pave Chanchji,0,0,5,0,0,\N,0,0,\N,0,0,\N,No,0,0,21,19,22,Nigerian Soldiers Kill Five Protesting Secondary School Students In Taraba,attack,\N,Eye Witness,1,http://saharareporters.com/2020/10/16/nigerian-soldiers-kill-five-protesting-secondary-school-students-taraba,\N,\N,Sources: Saharareporters,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
206,2020-10-16,7,1,3,15,280,Fadan Karshi,0,0,2,0,0,\N,0,0,\N,0,0,\N,No,0,0,21,19,22,Two Persons Allegedly Killed By Soldiers,attack,\N,"Confirmed by the national public relations officer of SOKAPU Mr, Luka Binniyat",1,http://saharareporters.com/2020/10/16/two-persons-allegedly-killed-soldiers-during-southern-kaduna-protest-buried-sokapu,\N,\N,Sources: Saharareporters,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
207,2020-10-16,7,1,5,30,608,Benin,0,0,2,0,0,\N,0,0,1,0,0,\N,No,0,0,26,19,22,Two killed as thugs attack #EndSARS protesters in Edo,attack,\N,"Attempts to get the comments of the police were not successful as the state police commissioner, Johnson Kokumo, and the command’s police public relations officer, Chidi Nwabuzor, did not answer several calls to their phones.",1,https://www.premiumtimesng.com/news/headlines/421240-two-killed-as-thugs-attack-endsars-protesters-in-edo.html,\N,\N,Sources: Premium Times,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
208,2020-10-17,12,1,1,3,57,Jakana,0,0,\N,0,0,14,0,0,\N,0,0,\N,No,0,0,10,21,22,Jihadists kill 14 soldiers in attack on Nigerian army base,attack,\N,Eye Witness,1,https://www.theguardian.com/world/2020/oct/17/jihadists-kill-14-soldiers-in-attack-on-nigerian-army-base,\N,\N,Sources: The Guardian,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
