id,title,created_at,updated_at
1,'Armed Robber(s)','2026-01-25 10:22:28','2026-01-25 10:22:28'
2,'Bandits','2026-01-25 10:22:28','2026-01-25 10:22:28'
3,'Boko Haram','2026-01-25 10:22:28','2026-01-25 10:22:28'
4,'Civilian(s)','2026-01-25 10:22:28','2026-01-25 10:22:28'
5,'Ethnic Groups','2026-01-25 10:22:28','2026-01-25 10:22:28'
6,'Farmer(s)','2026-01-25 10:22:28','2026-01-25 10:22:28'
7,'Gunmen','2026-01-25 10:22:28','2026-01-25 10:22:28'
8,'Herder(s)','2026-01-25 10:22:28','2026-01-25 10:22:28'
9,'Hoodlumns','2026-01-25 10:22:28','2026-01-25 10:22:28'
10,'ISWAP','2026-01-25 10:22:28','2026-01-25 10:22:28'
11,'Informal Security Actors','2026-01-25 10:22:28','2026-01-25 10:22:28'
12,'Ipob/ESN','2026-01-25 10:22:28','2026-01-25 10:22:28'
14,'Kidnappers','2026-01-25 10:22:28','2026-01-25 10:22:28'
15,'Lukarawa','2026-01-25 10:22:28','2026-01-25 10:22:28'
16,'Mahmuda','2026-01-25 10:22:28','2026-01-25 10:22:28'
17,'Maritime Pirates','2026-01-25 10:22:28','2026-01-25 10:22:28'
18,'Mob','2026-01-25 10:22:28','2026-01-25 10:22:28'
19,'Protesters','2026-01-25 10:22:28','2026-01-25 10:22:28'
20,'Religious Groups','2026-01-25 10:22:28','2026-01-25 10:22:28'
21,'Security Forces','2026-01-25 10:22:28','2026-01-25 10:22:28'
22,'N/A',\N,\N
23,'Farmers(s)',\N,\N
24,'Cultists',\N,\N
25,'Militant(s)',\N,\N
26,'Hoodlums',\N,\N
27,'Neigbours',\N,\N
28,'Ritualists',\N,\N
29,'Assasins',\N,\N
30,'Husband',\N,\N
31,'Child',\N,\N
32,'Children',\N,\N
33,'Group',\N,\N
