id,title,description,created_at,updated_at
1,'Armed Robbery',\N,'2026-01-25 10:22:28','2026-01-25 10:22:28'
2,'Banditry',\N,'2026-01-25 10:22:28','2026-01-25 10:22:28'
3,'Communal Clash',\N,'2026-01-25 10:22:28','2026-01-25 10:22:28'
4,'Cult Clashes',\N,'2026-01-25 10:22:28','2026-01-25 10:22:28'
5,'Extra-Judicial Killings',\N,'2026-01-25 10:22:28','2026-01-25 10:22:28'
6,'Farmer - Herder Conflict',\N,'2026-01-25 10:22:28','2026-01-25 10:22:28'
7,'Group Violence',\N,'2026-01-25 10:22:28','2026-01-25 10:22:28'
8,'Gunmen Attacks',\N,'2026-01-25 10:22:28','2026-01-25 10:22:28'
9,'Kidnapping',\N,'2026-01-25 10:22:28','2026-01-25 10:22:28'
10,'Maritime Piracy',\N,'2026-01-25 10:22:28','2026-01-25 10:22:28'
11,'Secessionism',\N,'2026-01-25 10:22:28','2026-01-25 10:22:28'
12,'Terrorism',\N,'2026-01-25 10:22:28','2026-01-25 10:22:28'
13,'Militancy',\N,\N,\N
14,'Civil Unrest',\N,\N,\N
