id,incidence_date,conflict_type_id,country_id,region_id,state_id,lga_id,community,civilian_death_male,civilian_death_female,civilian_death_unknown,security_death_male,security_death_female,security_death_unknown,injured_male,injured_female,injured_unknown,kidnapped_male,kidnapped_female,kidnapped_unknown,displaced_persons,displaced_male,displaced_female,actor_1,actor_2,actor_3,description,action,highway_roads_water,confirmation_verification,verification_level,source_url,source_contact_details,source_contact_pictures,source_metadata,data_source,reporter_id,created_at,updated_at,deleted_at
1,'2020-06-01',2,1,3,17,775,'Yantumaki',0,0,1,0,0,\N,0,0,\N,0,0,\N,'No',0,0,5,5,22,'attack by bandits','attack',\N,'inetdence confirmed by state police spokesperson but two corpses so ban discovered','1','https://guardian.ng/news/bandits-kill-traditional-ruler-in-katsina/',\N,\N,'Sources: The Guardian',\N,1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
2,'2020-06-01',2,1,3,20,776,'Birnin Kogo',0,0,4,0,0,\N,0,0,\N,0,0,\N,'No',0,0,21,2,22,'encounter between security forces and bandits','armed clash',\N,'incidence announced by DMO Coordinator','1','https://www.dailytrust.com.ng/troops-kill-4-bandits-in-zamfara.html',\N,\N,'Sources: Daily trust','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
3,'2020-06-01',12,1,1,3,57,'Kondori',0,0,4,0,0,\N,0,0,3,0,0,\N,'No',0,0,3,4,22,'attack by Boko Haram','armed clash',\N,"'Confirmed by  John Enenche, the Coordinator, Defence Media Operations, and Ahmed Jibrin, former Director, Military Intelligence'",'1','https://www.sunnewsonline.com/4-killed-3-injured-as-boko-haram-unleash-mayhem-on-borno-village/',\N,\N,'Sources: The Sun','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
4,'2020-06-02',6,1,6,37,777,'Egbo',0,0,2,0,0,\N,0,0,\N,0,0,\N,'No',0,0,8,23,22,'Farmers attacked by herdsmen in Oyo State','attack',\N,"'Confirmed by the Police Public Relations Officer in the state, Mr Olugbenga Fadeyi'",'1','https://tribuneonlineng.com/how-three-farmers-were-killed-by-suspected-herdsmen-in-ibadan/',\N,\N,'Sources: Nigerian Tribune','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
5,'2020-06-02',6,1,6,37,777,'Babalola',0,0,1,0,0,\N,0,0,\N,0,0,\N,'No',0,0,8,23,22,'Farmer attacked by herdsmen in Oyo State','attack',\N,"'Confirmed by the Police Public Relations Officer in the state, Mr Olugbenga Fadeyi'",'1','https://tribuneonlineng.com/how-three-farmers-were-killed-by-suspected-herdsmen-in-ibadan/',\N,\N,'Sources: Nigerian Tribune | Other: https://www.sunnewsonline.com/family-heads-threaten-to-retaliate-killing-of-farmers-by-suspected-herdsmen-in-ibadan/','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
6,'2020-06-02',12,1,1,3,778,'Kwabula',0,0,2,0,0,\N,0,0,\N,0,0,\N,'No',0,0,3,4,22,'attack by Boko Haram','attack',\N,\N,'1','https://dailypost.ng/2020/06/02/boko-haram-13-killed-in-borno/',\N,\N,'Sources: Daily post','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
7,'2020-06-02',12,1,1,3,57,'Kondori',0,0,4,0,0,\N,0,0,3,0,0,\N,'No',0,0,3,4,22,'attack by Boko Haram','attack',\N,\N,'1','https://dailypost.ng/2020/06/02/boko-haram-13-killed-in-borno/',\N,\N,'Sources: Daily post','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
8,'2020-06-02',12,1,1,3,48,'Damboa',0,0,4,0,0,\N,0,0,\N,0,0,\N,'No',0,0,3,4,22,'attack by Boko Haram','attack',\N,\N,'1','https://dailypost.ng/2020/06/02/boko-haram-13-killed-in-borno/',\N,\N,'Sources: Daily post','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
9,'2020-06-02',6,1,2,7,126,'Itakpa',0,0,13,0,0,\N,0,0,\N,0,0,\N,'No',0,0,8,4,22,'attacked by Fulani herdsmen','attack',\N,'incidence confirmed by state police spokesperson but two corpses so far discovered','1','http://saharareporters.com/2020/06/02/suspected-herdsmen-attack-kill-residents-benue-community',\N,\N,'Sources: Saharareporters','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
10,'2020-06-02',3,1,6,33,779,'Ibeshe',0,0,2,0,0,\N,0,0,\N,0,0,\N,'No',0,0,4,4,22,'attack over representation between traditional class and youths','attack',\N,"'Confirmed over  John Enencanguard, vanguard Coordinator, Defence Media Operatibys, and Ahmed Jibrin, former Director, Militaty Intelligence'",'1','https://www.vanguardngr.com/2020/06/two-dead-others-injured-as-monarch-escapes-lynching-by-ibeshe-youths/',\N,\N,'Sources: Vanguard','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
