id,title,region_id,created_at,updated_at
1,'Adamawa',1,'2026-01-25 10:22:29','2026-01-25 10:22:29'
2,'Bauchi',1,'2026-01-25 10:22:29','2026-01-25 10:22:29'
3,'Borno',1,'2026-01-25 10:22:29','2026-01-25 10:22:29'
4,'Gombe',1,'2026-01-25 10:22:29','2026-01-25 10:22:29'
5,'Taraba',1,'2026-01-25 10:22:29','2026-01-25 10:22:29'
6,'Yobe',1,'2026-01-25 10:22:29','2026-01-25 10:22:29'
7,'Benue',2,'2026-01-25 10:22:29','2026-01-25 10:22:29'
8,'Kogi',2,'2026-01-25 10:22:29','2026-01-25 10:22:29'
9,'Kwara',2,'2026-01-25 10:22:29','2026-01-25 10:22:29'
10,'Nasarawa',2,'2026-01-25 10:22:29','2026-01-25 10:22:29'
11,'Niger',2,'2026-01-25 10:22:29','2026-01-25 10:22:29'
12,'Plateau',2,'2026-01-25 10:22:29','2026-01-25 10:22:29'
13,'FCT',2,'2026-01-25 10:22:29','2026-01-25 10:22:29'
14,'Jigawa',3,'2026-01-25 10:22:29','2026-01-25 10:22:29'
15,'Kaduna',3,'2026-01-25 10:22:29','2026-01-25 10:22:29'
16,'Kano',3,'2026-01-25 10:22:29','2026-01-25 10:22:29'
17,'Katsina',3,'2026-01-25 10:22:29','2026-01-25 10:22:29'
18,'Kebbi',3,'2026-01-25 10:22:29','2026-01-25 10:22:29'
19,'Sokoto',3,'2026-01-25 10:22:29','2026-01-25 10:22:29'
20,'Zamfara',3,'2026-01-25 10:22:29','2026-01-25 10:22:29'
21,'Abia',4,'2026-01-25 10:22:29','2026-01-25 10:22:29'
22,'Anambra',4,'2026-01-25 10:22:29','2026-01-25 10:22:29'
23,'Ebonyi',4,'2026-01-25 10:22:29','2026-01-25 10:22:29'
24,'Enugu',4,'2026-01-25 10:22:29','2026-01-25 10:22:29'
25,'Imo',4,'2026-01-25 10:22:29','2026-01-25 10:22:29'
26,'Akwa Ibom',5,'2026-01-25 10:22:29','2026-01-25 10:22:29'
27,'Bayelsa',5,'2026-01-25 10:22:29','2026-01-25 10:22:29'
28,'Cross River',5,'2026-01-25 10:22:29','2026-01-25 10:22:29'
29,'Delta',5,'2026-01-25 10:22:29','2026-01-25 10:22:29'
30,'Edo',5,'2026-01-25 10:22:29','2026-01-25 10:22:29'
31,'Rivers',5,'2026-01-25 10:22:29','2026-01-25 10:22:29'
32,'Ekiti',6,'2026-01-25 10:22:29','2026-01-25 10:22:29'
33,'Lagos',6,'2026-01-25 10:22:29','2026-01-25 10:22:29'
34,'Ogun',6,'2026-01-25 10:22:29','2026-01-25 10:22:29'
35,'Ondo',6,'2026-01-25 10:22:29','2026-01-25 10:22:29'
36,'Osun',6,'2026-01-25 10:22:29','2026-01-25 10:22:29'
37,'Oyo',6,'2026-01-25 10:22:29','2026-01-25 10:22:29'
38,'Bayelsa',4,\N,\N
39,'Imo',5,\N,\N
40,'Kaduna',2,\N,\N
